Source Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Organism part]	Term Source REF	Term Accession Number	Characteristics[Variant]	Term Source REF	Term Accession Number	Characteristics[Sample type]	Term Source REF	Term Accession Number	Protocol REF	Sample Name	Factor Value[Sample group]	Term Source REF	Term Accession Number	Factor Value[Tumour site]	Term Source REF	Term Accession Number	Factor Value[Stage]	Term Source REF	Term Accession Number	Factor Value[CDX1/Villin]	Term Source REF	Term Accession Number
HCT8	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	HCT-8 cell	BTO	http://purl.obolibrary.org/obo/BTO_0002255				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	HCT8	colorectal cancer cell line						3			+		
HP	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	blood plasma	BTO	http://purl.obolibrary.org/obo/BTO_0000131				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	HP	human plasma control											
HT29	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	HT-29 cell	BTO	http://purl.obolibrary.org/obo/BTO_0000182				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	HT29	colorectal cancer cell line			Primary			3			+		
HT29_VUmc	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	HT-29 cell	BTO	http://purl.obolibrary.org/obo/BTO_0000182				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	HT29_VUmc	colorectal cancer cell line			Primary			3			+		
KM12_VUmc	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	KM-12 cell	BTO	http://purl.obolibrary.org/obo/BTO_0003172				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	KM12_VUmc	colorectal cancer cell line			Primary			2			+		
LOVO	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	LoVo cell	BTO	http://purl.obolibrary.org/obo/BTO_0000666				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	LOVO	colorectal cancer cell line			Lymph node metastasis			3			+		
LS-180	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	LS-180 cell	BTO	http://purl.obolibrary.org/obo/BTO_0001609				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	LS174T_VUmc	colorectal cancer cell line			Primary			2			+		
LS-411N	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	LS411N cell	CLO	http://purl.obolibrary.org/obo/CLO_0007406				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	LS-180	colorectal cancer cell line			Primary			2			+		
LS174T_VUmc	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	LS-174T cell	BTO	http://purl.obolibrary.org/obo/BTO_0001553				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	LS-411N	colorectal cancer cell line			Primary			2			-		
RKO	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	RKO cell	BTO	http://purl.obolibrary.org/obo/BTO_0001890				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	RKO	colorectal cancer cell line									-		
RKO_VUmc	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	RKO cell	BTO	http://purl.obolibrary.org/obo/BTO_0001890				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	RKO_VUmc	colorectal cancer cell line									-		
SW1116	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	SW-1116 cell	BTO	http://purl.obolibrary.org/obo/BTO_0001599				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	SW1116	colorectal cancer cell line			Primary			1			+		
SW1398_VUmc	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	SW-1398 cell	BTO	http://purl.obolibrary.org/obo/BTO_0003746				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	SW1398_VUmc	colorectal cancer cell line									---		
SW1463	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	SW1463 cell	CLO	http://purl.obolibrary.org/obo/CLO_0009212				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	SW1463	colorectal cancer cell line			Primary			3			---		
SW48	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	SW-48 cell	BTO	http://purl.obolibrary.org/obo/BTO_0001535				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	SW48	colorectal cancer cell line			Primary			3			-		
SW480	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	SW-480 cell	BTO	http://purl.obolibrary.org/obo/BTO_0000038				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	SW480	colorectal cancer cell line			Primary			2			+		
SW480_VUmc	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	SW-480 cell	BTO	http://purl.obolibrary.org/obo/BTO_0000038				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	SW480_VUmc	colorectal cancer cell line			Primary			2			+		
SW620	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	SW-620 cell	BTO	http://purl.obolibrary.org/obo/BTO_0000675				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	SW620	colorectal cancer cell line			Lymph node metastasis			3			+		
SW948_VUmc	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	SW-948 cell	BTO	http://purl.obolibrary.org/obo/BTO_0001534				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	SW948_VUmc	colorectal cancer cell line			Primary			3			+		
T84	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	T-84 cell	BTO	http://purl.obolibrary.org/obo/BTO_0002032				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	T84	colorectal cancer cell line			Lung metastasis						+		
WiDr	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	WiDr cell	BTO	http://purl.obolibrary.org/obo/BTO_0001483				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	WiDr	colorectal cancer cell line			Primary						+		
